Country Name,Year,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Population, female","Population, male","Population, total",Rural population (% of total population)
Ethiopia,2018,-1.260151181308004,-0.6380696181679015,,1.03518060670326,0.076,56155672.0,2.4578144210852093,2.4542346791158947,0.4478083116787987
Ethiopia,2019,-1.3006417397172665,-0.5165406087375977,,1.1302055161402853,0.051,57695135.0,2.5647986108069913,2.562341056345327,0.3784634921152235
Ethiopia,2020,-1.1422023305896796,-0.398518002632985,,1.1749693164535941,0.104,59291103.0,2.6753089301382156,2.6742133543360205,0.3079178964553079
Ethiopia,2021,-1.3241540853804443,-0.5097837382513651,,1.0495128761018186,0.101,60910800.0,2.786998067130454,2.7875148498066475,0.23602142768700873
Ethiopia,2022,-1.560253120544973,-0.45949457163978624,,1.357165837027068,0.108,62543054.0,2.899539928732509,2.901688096291273,0.16292418282237336
Ethiopia,2023,-1.560253120544973,-0.45949457163978624,,1.4392328042681348,,64205530.0,3.0142778788102658,3.01803196129215,0.08847606484935656
Kenya,2000,-1.0467064727396664,-0.7380559192935415,,-0.7657770260774048,,15418253.0,-0.4218378418099983,-0.4310093818108941,0.5785428091677078
Kenya,2001,-0.9698412348622251,-0.7088199560615309,,-0.6839063912938522,,15901998.0,-0.3874822822438724,-0.3966669929824754,0.5264591459890028
Kenya,2002,-0.9155605238959069,-0.7001203319812898,1.9,-0.6332526172551064,0.138,16403122.0,-0.35194239456731113,-0.3611160002746708,0.4736249977500866
Kenya,2003,-0.7744434548014602,-0.5313882704868018,,-0.5134898181712511,,16910139.0,-0.3159920830376489,-0.32515073060407657,0.42004036445095916
Kenya,2004,-0.6560344944611531,-0.4302263523344775,1.4,-0.4000096577278597,,17436596.0,-0.2786901768442312,-0.2878200037827134,0.36570524609162053
Kenya,2005,-0.6521619927611793,-0.2619013318128764,,-0.2894744841471875,,17974283.0,-0.2406511957263203,-0.24972252864192027,0.3109198366961548
Kenya,2006,-0.12244914164548844,0.20667011289928305,1.4,-0.18168796497171777,,18524857.0,-0.20180252730609874,-0.21076339822359189,0.2553839422404757
Kenya,2007,-0.049153689510947646,0.6668044933473981,,-0.11336426975666607,,19089073.0,-0.16217437442659718,-0.17093128560389212,0.19909756272458545
Kenya,2008,-0.004621503746643387,0.913971699487876,,-0.00577408303871038,0.169,19673023.0,-0.12129576804360463,-0.12977438019353077,0.142060698148484
Kenya,2009,0.06278332478012452,0.9692760072777143,,0.09788945452895435,0.171,20273467.0,-0.07929805216041633,-0.08747289264720529,0.0845735425362554
Kenya,2010,0.12717874810356478,1.1384335407084372,1.4,0.18270507617522613,0.172,20868243.0,-0.03780227544223728,-0.04562391922581195,0.026335901863813495
Kenya,2011,0.0031577706398723277,1.048158512610726,,0.2549554205405688,0.177,21449706.0,0.0025447469529098436,-0.004822580728915661,-0.03340270892905079
Kenya,2012,-0.11933279765495132,1.4236050701435976,,0.30482386474925566,0.185,22017274.0,0.041764777812612994,0.03492162511231664,-0.09449219283029862
Kenya,2013,-0.17726357498202291,1.58042774414227,,0.34251969659204295,0.194,22570013.0,0.07983214820792228,0.07356289812759098,-0.1572327438640098
Kenya,2014,-0.1894617703401601,1.8445581664140924,,0.3937624680033325,0.2,23107082.0,0.11663218498885504,0.11101382401338929,-0.22132416800610452
Kenya,2015,-0.28813410278937435,1.749011581311919,,0.45050254822502817,,23631929.0,0.15236214829418923,0.14749517225417008,-0.2869165622686216
Kenya,2016,-0.2948583032634233,1.8969930310598755,,0.49899666523111386,,24163397.0,0.18861204691580735,0.1844716337030059,-0.3540099266515632
Kenya,2017,-0.8061388536185166,1.5234232754879435,,0.5380668242765023,,24698357.0,0.22510091768574703,0.22169144813040836,-0.4226042611549272
Kenya,2018,-0.7309031911704921,1.966910664280626,,0.5577000700279543,0.161,25211388.0,0.2597197930311823,0.25719681655182947,-0.49284966279075876
Kenya,2019,-0.5514210901810273,2.4887732944460024,1.33,0.5800819701846087,,25717437.0,0.29387558136765474,0.2922230420242688,-0.5644459375349717
Kenya,2020,-0.46907648053461504,2.536431962601802,,0.3164074797426117,,26233737.0,0.3286267772517257,0.3279101337020176,-0.6376932794116502
Kenya,2021,-0.42065401873924546,2.9146231633246877,,0.24356813800472685,0.098,26746066.0,0.36277084716411234,0.36315135966665113,-0.7124415914087511
Kenya,2022,-0.5798429243612101,2.730090639454279,,0.699844769268464,0.102,27271918.0,0.3981662773628061,0.39949935272649145,-0.7888409705383195
Kenya,2023,-0.5798429243612101,2.730090639454279,,0.7188890176473725,,27821991.0,0.4355863443324225,0.43772040390280126,-0.8665912227762693
Mozambique,2000,-2.032870208584935,-1.4691355041478409,,-2.063141905333334,0.024,9371945.0,-0.8729224641605058,-0.8711847931233822,-0.803250283694388
Mozambique,2001,-1.5946994747447183,-1.3922078244658551,,-1.909413591099467,,9591512.0,-0.8597734855533999,-0.8568299925912133,-0.8301176488499732
Mozambique,2002,-1.3381366878271148,-1.318477595556925,,-1.7876874674404668,,9817273.0,-0.8461823456946275,-0.8420343214489874,-0.8571351110175994
Mozambique,2003,-1.2952632643945734,-1.266407963358359,,-1.6887359088531493,,10049039.0,-0.832066457595393,-0.8267627787985149,-0.8841525731852278
Mozambique,2004,-1.1091532610760322,-1.1109878026735265,,-1.5960669889062984,0.026,10286868.0,-0.8174177997153996,-0.8110092790564928,-0.9113201323648971
Mozambique,2005,-0.6541610759713926,-0.8954345295114315,,-1.504379731247018,,10532008.0,-0.8021339055964207,-0.7946782469059557,-0.9384876915445665
Mozambique,2006,-0.8330131431365473,-0.9133832825071598,0.85,-1.4207421043458346,0.026,10785290.0,-0.7861441159313199,-0.7777048163607115,-0.965955444748322
Mozambique,2007,-0.9301928310477209,-0.8506479922121937,0.75,-1.3212015483859736,,11047481.0,-0.7695181134918931,-0.7600971484342075,-0.9932731009400343
Mozambique,2008,-0.7069903940202001,-0.5894960687809917,0.79,-1.2143966914980768,,11325312.0,-0.7518309658999808,-0.7414041712495776,-1.0635185025758638
Mozambique,2009,-0.0943347880876958,-0.42823742243031754,0.84,-1.0964008845318522,0.046,11623609.0,-0.7326900361961836,-0.721258111549968,-1.1379666205488828
Mozambique,2010,0.06329388262524588,-0.5001580014223012,0.85,-0.9707481117225614,0.05,11938795.0,-0.7123010943272466,-0.6998885681921443,-1.2133153205941538
Mozambique,2011,-0.18341248870098265,-0.2905491983825915,0.84,-0.8346897186650015,0.053,12272273.0,-0.6902365573190861,-0.6770305544765486,-1.289264408687595
Mozambique,2012,-0.037948374542858515,-0.04787162824719701,0.85,-0.6919560220519468,0.056,12622830.0,-0.6666427659677261,-0.6528005407287133,-1.3658138848292065
Mozambique,2013,0.5644246643985112,0.26702421725257397,0.8,-0.5488296605238641,0.058,12985740.0,-0.642169744047308,-0.6276925848532305,-1.4429637490189862
Mozambique,2014,0.6939024879438871,0.3676599588069125,0.8,-0.3964756734925982,,13359832.0,-0.6168654812945642,-0.6017720804880239,-1.520714001256936
Mozambique,2015,0.939853972581734,0.20931625947900118,0.78,-0.2500116601867695,,13744964.0,-0.5907804785371028,-0.5750694907263918,-1.599064641543056
Mozambique,2016,1.3426478250640272,-0.2186548271041323,0.78,-0.10394031179596888,,14144776.0,-0.5635964550064498,-0.5472962604247694,-1.6780156698773443
Mozambique,2017,1.7354684877273197,0.028206330622504605,0.76,0.03211808126159237,0.076,14562669.0,-0.5349006152636775,-0.5181245771507684,-1.7574169892477596
Mozambique,2018,1.8510660426573693,0.2564004633120636,0.76,0.1581635189859115,0.084,14992896.0,-0.5054633759399041,-0.4881451294294091,-1.8374186966663453
Mozambique,2019,1.7998531240081919,0.24265997050440785,0.71,0.25947106706340195,0.085,15432082.0,-0.4757104366910567,-0.4576913228014336,-1.918471083169227
Mozambique,2020,1.5600556305189648,-0.06655785381923761,0.7,0.275962993494622,0.083,15887255.0,-0.444730899302036,-0.42605656124480273,-2.000424051744363
Mozambique,2021,2.4438444564173727,0.45449818375656376,0.73,0.05567797616333391,0.081,16353471.0,-0.4127914974258428,-0.39354927478496776,-2.0835777964158386
Mozambique,2022,2.382196022358564,0.6681584788543018,,0.5942179071256545,0.082,16832437.0,-0.3800440823079227,-0.3601859965095156,-2.1674820261475256
Mozambique,2023,2.382196022358564,0.6681584788543018,,0.7120173816343636,,17327861.0,-0.34631943432427437,-0.3257509520370459,-2.2524369349635096
